2	Atmosphäre#Geruch
8	Sonstige_Unregelmaessigkeiten
25	Toiletten
32	unklare_Kategorie
24	Atmosphäre#Lautstärke
10	Zugfahrt#Pünktlichkeit
1	unklare_Kategorie#nicht_identifizierbare_Kategorie
14	Connectivity#Telefonie_und_Handyempfang
27	Image
6	DB_App_und_Website#Informationen_DB_App_und_Website
19	Design
20	Image#Marketing
21	Service_und_Kundenbetreuung#Zugbetreuung
22	Zugfahrt
13	DB_App_und_Website
28	Gastronomisches_Angebot
18	Auslastung_und_Platzangebot
7	Informationen
5	Allgemein
0	Service_und_Kundenbetreuung
4	Connectivity#WLAN_und_Internet
23	Toiletten#Funktionsfähigkeit_Toiletten
15	Zugfahrt#Streckennetz
9	Zugfahrt#Fahrtzeit_und_Schnelligkeit
31	Komfort_und_Ausstattung#Sitzkomfort
35	-1
17	unklare_Kategorie#nicht_vorhandene_Kategorie
30	Zugfahrt#Anschlusserreichung
34	1
12	Ticketkauf
3	Atmosphäre
29	Komfort_und_Ausstattung
33	Connectivity
26	Zugfahrt#Technische_Schäden_und_Störungen_am_Zug
11	Connectivity#ICE_Portal
16	Sicherheit
